Date,Symbol,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,MACD_diff,EMA_20,SMA_50,BB_high,BB_low,BB_mid,Price_Change,Volume_Change,sentiment_score,next_close,target
2024-08-19,^NSEI,24636.349609375,24638.80078125,24522.94921875,24572.650390625,243600,55.63641218535441,44.93153309245827,81.20632617187337,-36.274793079415105,24389.08487346971,24146.8749609375,25082.964282642286,23875.995873607717,24479.480078125,0.0012835584110202358,-0.1030927835051546,0.0,24698.849609375,1
2024-08-20,^NSEI,24648.900390625,24734.30078125,24607.19921875,24698.849609375,238300,58.200481933353835,65.87999697317719,78.14106033213415,-12.26106335895696,24418.586276889262,24184.4239453125,25099.927368342473,23877.99274884503,24488.96005859375,0.005135759339910173,-0.021756978653530323,0.0,24770.19921875,1
2024-08-21,^NSEI,24680.55078125,24787.94921875,24654.5,24770.19921875,257100,59.6214158369128,87.23354865923102,79.95955799755353,7.273990661677487,24452.073223733143,24214.024921875,25126.600808556243,23880.434152381255,24503.51748046875,0.0028887826964991703,0.07889215274863615,0.0,24811.5,1
2024-08-22,^NSEI,24863.400390625,24867.349609375,24784.44921875,24811.5,220300,60.45932706269164,106.26407399833988,85.2204611977108,21.043612800629077,24486.30434528237,24245.0709375,25159.026488310807,23887.808472626693,24523.41748046875,0.001667357653657442,-0.14313496693893424,0.0,24823.150390625,1
2024-08-23,^NSEI,24845.400390625,24858.400390625,24771.650390625,24823.150390625,206800,60.707028597608435,120.89241904039955,92.35485276624857,28.537566274150976,24518.384921029286,24276.236953125,25190.392890368606,23898.147148693894,24544.27001953125,0.00046955607782672715,-0.061280072628234206,0.0,25010.599609375,1
2024-08-26,^NSEI,24906.099609375,25043.80078125,24874.69921875,25010.599609375,210300,64.55448544764046,145.92889577944516,103.06966136888789,42.859234410557264,24565.262510395543,24309.9899609375,25219.219092469917,23886.89594659258,24553.05751953125,0.007551387144671073,0.016924564796905184,0.0,25017.75,1
2024-08-27,^NSEI,25024.80078125,25073.099609375,24973.650390625,25017.75,223300,64.69649173312496,164.45176318006997,115.34608173112431,49.10568144894566,24608.35655702454,24342.366953125,25248.147712468704,23876.132365656293,24562.1400390625,0.0002858944102370753,0.061816452686638046,0.0,25052.349609375,1
2024-08-28,^NSEI,25030.80078125,25129.599609375,24964.650390625,25052.349609375,220400,65.41845774278646,179.84996986084298,128.24685935706805,51.60311050377493,24650.641609629347,24374.101953125,25279.60937255069,23864.175588386806,24571.89248046875,0.0013830024432652799,-0.012987012987012991,0.0,25151.94921875,1
2024-08-29,^NSEI,25035.30078125,25192.900390625,24998.5,25151.94921875,354000,67.48012635178692,197.80978758240963,142.15944500213635,55.650342580273275,24698.38519145036,24405.9829296875,25316.088978125943,23847.77586562406,24581.932421875,0.00397565940632294,0.6061705989110708,0.0,25235.900390625,1
2024-08-30,^NSEI,25249.69921875,25268.349609375,25199.400390625,25235.900390625,638200,69.14963479996013,216.32358682913764,156.99227336753663,59.33131346160101,24749.577115181277,24440.3809375,25359.479829069976,23826.885014680025,24593.182421875,0.003337760073577778,0.8028248587570621,0.0,25278.69921875,1
2024-09-02,^NSEI,25333.599609375,25333.650390625,25235.5,25278.69921875,222800,69.99533863395833,231.77762566968522,171.94934382796635,59.828281841718876,24799.969696473538,24474.614921875,25442.785996203842,23799.678847546158,24621.232421875,0.001695950113232314,-0.6508931369476654,0.0,25279.849609375,1
2024-09-03,^NSEI,25313.400390625,25321.69921875,25235.80078125,25279.849609375,212100,70.01912895900111,241.3359194473851,185.8266589518501,55.50926049553499,24845.672545321297,24510.189921875,25508.71946407405,23856.170379675954,24682.444921875,4.550829989491412e-05,-0.048025134649910206,0.0,25198.69921875,0
2024-09-04,^NSEI,25089.94921875,25216.0,25083.80078125,25198.69921875,253800,66.04120394411297,239.60080883079718,196.58148892763955,43.01931990315762,24879.294133266885,24543.4069140625,25534.14010793899,23951.364579561006,24742.75234375,-0.0032100820170585243,0.19660537482319662,0.0,25145.099609375,0
2024-09-05,^NSEI,25250.5,25275.44921875,25127.75,25145.099609375,222200,63.476095180304995,231.23514581830386,203.51222030577244,27.72292551253142,24904.608940515274,24571.882890625,25567.33247561105,24002.93217282645,24785.13232421875,-0.0021270784221717465,-0.12450748620961383,0.0,24852.150390625,0
2024-09-06,^NSEI,25093.69921875,25168.75,24801.30078125,24852.150390625,311700,51.66472396988099,198.67652463110062,202.5450811708381,-3.868556539737483,24899.612888144773,24591.5498828125,25541.647260927173,24102.132426572825,24821.88984375,-0.011650350298901935,0.40279027902790276,0.0,24936.400390625,1
2024-09-09,^NSEI,24823.400390625,24957.5,24753.150390625,24936.400390625,254400,54.29852281377258,177.6243111695403,197.56092717057857,-19.93661600103826,24903.116459809557,24609.387890625,25540.365855400818,24160.30387116168,24850.33486328125,0.003390048695012693,-0.18383060635226178,0.0,25041.099609375,1
2024-09-10,^NSEI,24999.400390625,25130.5,24896.80078125,25041.099609375,251300,57.40478046240822,167.45827748975353,191.54039723441358,-24.082119744660048,24916.257712149123,24629.997890625,25539.206541281863,24230.87314621814,24885.03984375,0.0041986500501236534,-0.01218553459119498,0.0,24918.44921875,0
2024-09-11,^NSEI,25034.0,25113.69921875,24885.150390625,24918.44921875,279200,52.8712456185347,147.80100310399575,182.79251840833,-34.99151530433426,24916.46642706349,24645.527890625,25481.476926783576,24366.547682591427,24924.0123046875,-0.004897963449619458,0.11102268205332266,0.0,25388.900390625,1
2024-09-12,^NSEI,25059.650390625,25433.349609375,24941.44921875,25388.900390625,380100,64.46402227463878,168.24453114957942,179.8829209565799,-11.638389807000493,24961.460137878872,24670.82890625,25451.807302411504,24520.732346025998,24986.26982421875,0.01887963282727112,0.36138968481375366,0.0,25356.5,0
2024-09-13,^NSEI,25430.44921875,25430.5,25292.44921875,25356.5,250800,63.30900789754007,179.75957716222183,179.8582521977083,-0.0986750354864796,24999.08298189041,24692.22890625,25471.857502437364,24582.217106937635,25027.0373046875,-0.0012761636040355961,-0.34017363851618,0.0,25383.75,1
2024-09-16,^NSEI,25406.650390625,25445.69921875,25336.19921875,25383.75,168700,63.894928996611974,188.9065838426468,181.667918526696,7.238665315950783,25035.717935996086,24713.8608984375,25486.449633698834,24648.734936613666,25067.59228515625,0.0010746751326089488,-0.3273524720893142,0.0,25418.55078125,1
2024-09-17,^NSEI,25416.900390625,25441.650390625,25352.25,25418.55078125,216000,64.67085442900222,196.69639118379928,184.67361305811667,12.022778125682606,25072.178206972647,24735.754921875,25513.091594622616,24694.063092877383,25103.57734375,0.0013709866056039743,0.2803793716656786,0.0,25377.55078125,0
2024-09-18,^NSEI,25402.400390625,25482.19921875,25285.55078125,25377.55078125,215700,62.95430326833908,197.2873070073947,187.1963518479723,10.090955159422407,25101.261309284775,24756.894921875,25529.921255143116,24737.968588606887,25133.944921875,-0.0016129951842196455,-0.001388888888888884,0.0,25415.80078125,1
2024-09-19,^NSEI,25487.05078125,25611.94921875,25376.05078125,25415.80078125,314500,63.916554378624255,198.5532688975909,189.46773525789604,9.085533639694859,25131.217449471937,24776.546953125,25549.179261402394,24779.140660472607,25164.1599609375,0.0015072376499098983,0.45804357904496995,0.0,25790.94921875,1
2024-09-20,^NSEI,25525.94921875,25849.25,25426.599609375,25790.94921875,533100,71.68485227383721,227.2087751489198,197.0159432361008,30.192831912819003,25194.04904654604,24805.876953125,25653.218672902964,24771.88113178454,25212.54990234375,0.014760441377741573,0.6950715421303657,0.0,25939.05078125,1
2024-09-23,^NSEI,25872.55078125,25956.0,25847.349609375,25939.05078125,209200,74.0591904561488,258.88476622732196,209.38970783434505,49.495058392976915,25265.001592708322,24838.338984375,25790.924217025295,24727.020704849707,25258.9724609375,0.005742385099666292,-0.607578315513037,0.0,25940.400390625,1
2024-09-24,^NSEI,25921.44921875,26011.55078125,25886.849609375,25940.400390625,384100,74.08052007806049,280.85954555538774,223.6836753785536,57.17587017683414,25329.325287748008,24867.103984375,25901.503322947312,24708.706637990188,25305.10498046875,5.2030021699067674e-05,0.8360420650095601,0.0,26004.150390625,1
2024-09-25,^NSEI,25899.44921875,26032.80078125,25871.349609375,26004.150390625,278500,75.12112794501053,299.9610445097933,238.93914920480157,61.021895304991716,25393.594345164864,24895.4530078125,26009.64827297327,24695.741766089228,25352.69501953125,0.0024575565157058943,-0.27492840406144237,0.0,26216.05078125,1
2024-09-26,^NSEI,26005.400390625,26250.900390625,25998.400390625,26216.05078125,370900,78.24728342892668,328.4119817517385,256.83371571418894,71.57826603754955,25471.923529553922,24927.5140234375,26155.087200326365,24656.712994986134,25405.90009765625,0.008148714241454025,0.33177737881508085,0.0,26178.94921875,0
2024-09-27,^NSEI,26248.25,26277.349609375,26151.400390625,26178.94921875,490300,76.43625847605489,344.0003466079397,274.2670418929391,69.7333047150006,25539.25930947736,24955.076015625,26269.219747746843,24636.885330378158,25453.0525390625,-0.0014152231703233875,0.3219196548935024,0.0,25810.849609375,0
2024-09-30,^NSEI,26061.30078125,26134.69921875,25794.099609375,25810.849609375,343100,61.28168539418512,322.92914970344646,283.9994634550406,38.92968624840586,25565.12505232475,24980.675,26305.98989878664,24653.330218400857,25479.66005859375,-0.014060900852023384,-0.3002243524372833,0.0,25796.900390625,0
2024-10-01,^NSEI,25788.44921875,25907.599609375,25739.19921875,25796.900390625,247400,60.789822149361065,301.6275147389206,287.5250737118166,14.102441027103964,25587.19889406763,25006.4280078125,26337.552880466737,24673.47231484576,25505.51259765625,-0.0005404401234794243,-0.27892742640629553,0.0,25250.099609375,0
2024-10-03,^NSEI,25452.849609375,25639.44921875,25230.30078125,25250.099609375,423400,45.40529649321508,237.8814134591521,277.59634166128376,-39.71492820213166,25555.094200287378,25021.848984375,26336.626449002797,24679.538785372206,25508.0826171875,-0.021196375260987388,0.7113985448666127,0.0,25014.599609375,0
